Year,Month,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,FARM PRODUCE,ENERGY,SERVICES,GOODS,"ALL ITEMS LESS FOOD
 (NONFOOD INDEX)",ALLITEMS LESS FOOD AND NON ALCOHOLIC BEVERAGES INDEX,HOUSING (RENT) INDEX,Food &  Non Alcoholic Bev.,"ALCOHOLIC BEVERAGES, TOBACCO AND  NARCOTICS",Clothing and Footwear,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS","FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",Health.,Transport,INFORMATION AND COMMUNICATION,"RECREATION, SPORT AND CULTURE",EDUCATION SERVICES,RESTAURANTS AND ACCOMODATION SERVICES,Insurance and Financial Services,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",Month-on (%),Year-on (%),12-month average (%)
2019,Jan,37.22,44.32,43.65,36.39,32.05,,,,,,,,32.20,46.40,47.90,46.63,48.63,43.44,41.45,64.60,56.11,48.33,44.49,,45.49,0.74,11.37,11.80
2019,Feb,37.49,44.61,43.95,36.84,32.32,,,,,,,,32.47,46.76,48.23,46.87,48.96,43.72,41.74,64.98,56.45,48.67,44.78,,45.80,0.73,11.31,11.56
2019,Mar,37.79,44.85,44.20,37.28,32.60,,,,,,,,32.75,47.12,48.58,47.17,49.30,44.05,42.02,65.38,56.80,48.99,45.06,,46.09,0.79,11.25,11.40
2019,Apr,38.14,45.16,44.50,37.75,32.97,,,,,,,,33.12,47.50,48.95,47.50,49.65,44.40,42.32,65.79,57.17,49.32,45.33,,46.39,0.94,11.37,11.31
2019,May,38.57,45.50,44.86,38.22,33.43,,,,,,,,33.58,47.90,49.35,47.84,50.03,44.75,42.63,66.22,57.56,49.67,45.63,,46.74,1.11,11.40,11.30
2019,Jun,38.98,45.89,45.24,38.70,33.89,,,,,,,,34.04,48.28,49.75,48.15,50.39,45.11,42.95,66.65,57.94,50.04,45.92,,47.10,1.07,11.22,11.30
2019,Jul,39.38,46.24,45.63,39.18,34.31,,,,,,,,34.46,48.64,50.15,48.47,50.76,45.44,43.26,67.06,58.29,50.38,46.24,,47.45,1.01,11.08,11.29
2019,Aug,39.76,46.55,45.96,39.67,34.73,,,,,,,,34.88,49.01,50.54,48.77,51.12,45.77,43.59,67.49,58.67,50.72,46.54,,47.79,0.99,11.02,11.27
2019,Sep,40.18,46.96,46.37,40.18,35.19,,,,,,,,35.33,49.38,50.95,49.09,51.50,46.13,43.92,67.94,59.05,51.07,46.87,,48.14,1.04,11.24,11.27
2019,Oct,40.61,47.31,46.75,40.69,35.66,,,,,,,,35.80,49.77,51.37,49.41,51.88,46.50,44.26,68.40,59.45,51.45,47.21,,48.51,1.07,11.61,11.30
2019,Nov,41.02,47.68,47.12,41.20,36.10,,,,,,,,36.25,50.15,51.81,49.72,52.28,46.88,44.61,68.89,59.87,51.83,47.55,,48.91,1.02,11.85,11.35
2019,Dec,41.37,48.07,47.55,41.72,36.45,,,,,,,,36.60,50.54,52.26,49.98,52.69,47.28,44.97,69.34,60.31,52.22,47.90,,49.31,0.85,11.98,11.40
2020,Jan,41.73,48.47,47.93,42.25,36.81,,,,,,,,36.96,50.96,52.72,50.26,53.11,47.68,45.33,69.80,60.77,52.62,48.27,,49.73,0.87,12.13,11.46
2020,Feb,42.06,48.82,48.32,42.78,37.13,,,,,,,,37.28,51.36,53.12,50.53,53.55,48.07,45.67,70.28,61.23,53.01,48.66,,50.13,0.79,12.20,11.54
2020,Mar,42.42,49.21,48.72,43.33,37.48,,,,,,,,37.63,51.79,53.54,50.83,53.98,48.45,46.01,70.77,61.66,53.41,49.04,,50.52,0.84,12.26,11.62
2020,Apr,42.85,49.67,49.21,43.88,37.92,,,,,,,,38.07,52.23,54.01,51.18,54.44,48.96,46.46,71.28,62.12,53.83,49.46,,50.95,1.02,12.34,11.71
2020,May,43.35,50.10,49.66,44.43,38.46,,,,,,,,38.61,52.67,54.47,51.55,54.88,49.53,46.94,71.82,62.67,54.26,49.86,,51.43,1.17,12.40,11.79
2020,Jun,43.88,50.53,50.11,45.01,39.03,,,,,,,,39.18,53.14,54.96,51.94,55.34,50.11,47.42,72.39,63.22,54.70,50.28,,51.90,1.21,12.56,11.90
2020,Jul,44.42,50.91,50.49,45.59,39.63,,,,,,,,39.77,53.61,55.47,52.33,55.82,50.71,47.94,72.97,63.79,55.14,50.71,,52.39,1.25,12.82,12.05
2020,Aug,45.02,51.45,51.05,46.19,40.29,,,,,,,,40.43,54.10,56.00,52.73,56.34,51.30,48.47,73.57,64.36,55.60,51.15,,52.89,1.34,13.22,12.23
2020,Sep,45.69,51.93,51.55,46.79,41.05,,,,,,,,41.19,54.61,56.56,53.16,56.86,51.93,49.04,74.19,64.95,56.07,51.60,,53.42,1.48,13.71,12.44
2020,Oct,46.39,52.58,52.23,47.41,41.85,,,,,,,,41.99,55.14,57.15,53.60,57.42,52.58,49.62,74.82,65.56,56.57,52.07,,53.99,1.54,14.23,12.66
2020,Nov,47.13,52.95,52.58,48.04,42.71,,,,,,,,42.84,55.68,57.77,54.06,58.02,53.25,50.22,75.48,66.20,57.09,52.57,,54.57,1.60,14.89,12.92
2020,Dec,47.89,53.54,53.18,48.67,43.58,,,,,,,,43.72,56.24,58.41,54.51,58.64,53.93,50.84,76.15,66.86,57.63,53.08,,55.18,1.61,15.75,13.25
2021,Jan,48.61,54.21,53.92,49.32,44.38,,,,,,,,44.52,56.87,59.07,54.98,59.26,54.62,51.47,76.78,67.52,58.17,53.59,,55.78,1.49,16.47,13.62
2021,Feb,49.36,54.86,54.60,49.97,45.22,,,,,,,,45.35,57.51,59.75,55.47,59.91,55.36,52.12,77.43,68.20,58.75,54.10,,56.40,1.54,17.33,14.05
2021,Mar,50.13,55.45,55.16,50.63,46.08,,,,,,,,46.21,58.18,60.44,55.98,60.58,56.10,52.79,78.07,68.93,59.34,54.62,,57.03,1.56,18.17,14.55
2021,Apr,50.61,56.00,55.75,51.30,46.54,,,,,,,,46.67,58.78,61.14,56.37,61.27,56.73,53.37,78.73,69.66,59.87,55.16,,57.66,0.97,18.12,15.04
2021,May,51.12,56.69,56.50,51.98,47.03,,,,,,,,47.16,59.37,61.84,56.77,61.96,57.37,53.95,79.40,70.39,60.43,55.71,,58.28,1.01,17.93,15.50
2021,Jun,51.67,57.15,56.96,52.67,47.55,,,,,,,,47.68,59.97,62.58,57.19,62.67,58.01,54.55,80.08,71.14,61.03,56.30,,58.92,1.06,17.75,15.93
2021,Jul,52.14,57.90,57.78,53.37,47.96,,,,,,,,48.10,60.54,63.34,57.66,63.40,58.67,55.15,80.75,71.90,61.65,56.88,,59.57,0.93,17.38,16.30
2021,Aug,52.68,58.34,58.19,54.10,48.47,,,,,,,,48.60,61.08,64.05,58.15,64.05,59.26,55.75,81.43,72.62,62.28,57.45,,60.18,1.02,17.01,16.60
2021,Sep,53.28,59.07,58.95,54.83,49.08,,,,,,,,49.21,61.69,64.76,58.64,64.74,59.87,56.37,82.08,73.34,62.92,58.05,,60.82,1.15,16.63,16.83
2021,Oct,53.81,59.54,59.43,55.58,49.53,,,,,,,,49.66,62.36,65.54,59.19,65.53,60.55,57.08,82.76,74.08,63.61,58.67,,61.47,0.98,15.99,16.96
2021,Nov,54.39,60.29,60.16,56.34,50.06,,,,,,,,50.19,63.01,66.30,59.77,66.30,61.23,57.77,83.45,74.89,64.30,59.35,,62.23,1.08,15.40,16.98
2021,Dec,55.37,60.96,60.81,57.11,51.15,,,,,,,,51.29,63.94,67.22,60.55,67.11,61.97,58.49,84.16,75.86,65.06,60.04,,62.99,1.82,15.63,16.95
2022,Jan,56.19,61.73,61.55,57.90,51.98,,,,,,,,52.12,64.88,68.17,61.28,67.94,62.73,59.23,84.90,76.85,65.85,60.77,,63.79,1.47,15.60,16.87
2022,Feb,57.11,62.55,62.39,58.70,52.96,,,,,,,,53.09,65.86,69.14,62.03,68.79,63.52,60.01,85.64,77.86,66.66,61.52,,64.61,1.63,15.70,16.73
2022,Mar,58.10,63.16,62.91,59.52,54.01,,,,,,,,54.14,66.89,70.17,62.88,69.71,64.35,60.90,86.44,78.90,67.57,62.30,,65.48,1.74,15.92,16.54
2022,Apr,59.13,63.94,63.64,60.35,55.09,,,,,,,,55.22,67.96,71.22,63.75,70.67,65.22,61.82,87.26,79.98,68.49,63.11,,66.38,1.76,16.82,16.45
2022,May,60.18,65.13,64.88,61.20,56.20,,,,,,,,56.33,69.07,72.31,64.63,71.67,66.12,62.79,88.13,81.11,69.47,63.92,,67.31,1.78,17.71,16.45
2022,Jun,61.27,66.15,65.91,62.07,57.35,,,,,,,,57.48,70.22,73.43,65.54,72.70,67.06,63.81,89.05,82.26,70.49,64.77,,68.28,1.82,18.60,16.54
2022,Jul,62.39,67.31,67.07,62.93,58.52,,,,,,,,58.65,71.39,74.57,66.47,73.75,68.02,64.85,89.98,83.44,71.52,65.63,,69.27,1.82,19.64,16.75
2022,Aug,63.49,68.38,68.14,63.80,59.68,,,,,,,,59.80,72.53,75.71,67.40,74.80,68.98,65.91,90.90,84.60,72.55,66.50,,70.25,1.77,20.52,17.07
2022,Sep,64.35,69.47,69.26,64.70,60.53,,,,,,,,60.66,73.18,76.32,68.27,75.60,70.01,66.94,91.74,85.76,73.55,67.48,,71.30,1.36,20.77,17.43
2022,Oct,65.15,70.11,69.80,65.63,61.28,,,,,,,,61.40,73.83,77.05,69.16,76.57,71.11,67.92,92.59,86.91,74.58,68.35,,72.33,1.24,21.09,17.86
2022,Nov,66.06,71.29,70.99,66.61,62.13,,,,,,,,62.25,74.65,78.00,70.13,77.53,72.16,69.06,93.08,87.33,75.80,69.26,,73.49,1.39,21.47,18.37
2022,Dec,67.19,72.24,71.88,67.59,63.31,,,,,,,,63.42,75.51,79.02,71.16,78.54,73.26,70.29,93.60,87.80,77.05,70.32,,74.71,1.71,21.34,18.85
2023,Jan,68.45,73.55,73.18,68.60,64.62,,,,,,,,64.73,76.41,80.08,72.26,79.61,74.41,71.69,94.14,88.37,78.38,71.44,,75.98,1.87,21.82,19.36
2023,Feb,69.62,74.34,73.85,69.57,65.85,,,,,,,,65.96,77.20,81.13,73.26,80.61,75.63,72.86,94.67,88.86,79.68,72.49,,77.29,1.71,21.91,19.87
2023,Mar,70.91,75.71,75.26,70.58,67.22,,,,,,,,67.31,78.07,82.27,74.32,81.61,76.90,74.45,95.34,89.54,81.14,73.54,,78.59,1.86,22.04,20.37
2023,Apr,72.26,76.81,76.34,71.61,68.65,,,,,,,,68.73,78.95,83.44,75.40,82.63,78.22,76.12,96.04,90.25,82.66,74.77,,79.94,1.91,22.22,20.82
2023,May,73.67,78.20,77.75,72.66,70.15,,,,,,,,70.23,79.82,84.62,76.47,83.75,79.68,77.78,96.74,91.04,84.10,76.01,,81.36,1.94,22.41,21.20
2023,Jun,75.24,79.56,79.13,73.93,71.83,,,,,,,,71.90,80.81,85.95,77.70,84.90,81.23,79.65,97.54,92.03,85.64,77.37,,82.88,2.13,22.79,21.54
2023,Jul,77.41,81.31,80.80,75.48,74.31,,,,,,,,74.37,82.19,86.78,79.72,85.96,82.88,81.88,97.77,92.64,86.87,79.19,,84.16,2.89,24.08,21.92
2023,Aug,79.87,83.11,82.55,76.67,77.19,,,,,,,,77.23,83.65,87.65,82.09,87.15,84.78,83.78,97.93,93.40,87.81,81.64,,85.55,3.18,25.80,22.38
2023,Sep,81.54,84.82,84.39,78.75,79.08,,,,,,,,79.12,84.66,88.58,83.62,87.98,86.19,85.13,98.09,93.71,89.26,83.52,,86.94,2.10,26.72,22.90
2023,Oct,82.96,86.02,85.56,80.57,80.59,,,,,,,,80.63,85.97,89.67,85.02,89.06,87.69,86.28,98.40,94.19,90.30,84.77,,88.27,1.73,27.33,23.44
2023,Nov,84.69,87.37,86.88,82.42,82.54,,,,,,,,82.57,86.98,90.97,86.51,90.16,89.37,87.72,98.76,95.06,91.28,85.99,,89.37,2.09,28.20,24.01
2023,Dec,86.63,88.90,88.46,84.41,84.79,,,,,,,,84.81,88.06,92.28,88.22,91.46,90.73,89.08,99.06,95.58,91.99,87.38,,90.45,2.29,28.92,24.66
2024,Jan,88.91,90.79,90.44,86.63,87.51,,,,,,,,87.52,90.07,93.55,90.10,92.71,92.69,90.26,99.22,95.94,93.19,88.74,,91.77,2.64,29.90,25.35
2024,Feb,91.69,92.68,92.40,90.31,90.83,,,,,,,,90.83,92.09,94.80,92.33,94.33,94.55,91.85,99.33,97.20,94.68,90.72,,93.68,3.12,31.70,26.18
2024,Mar,94.45,94.93,94.75,93.80,94.11,,,,,,,,94.10,94.05,96.05,94.87,95.62,96.09,93.43,99.52,98.33,96.09,93.49,,95.18,3.02,33.20,27.13
2024,Apr,96.61,96.92,96.83,95.96,96.47,,,,,,,,96.46,96.33,97.18,97.10,97.23,97.47,95.44,99.79,99.13,97.46,95.55,,96.62,2.29,33.69,28.10
2024,May,98.68,98.81,98.78,97.96,98.67,,,,,,,,98.67,98.38,98.67,99.12,98.59,98.86,97.72,100.01,99.65,98.89,97.75,,98.40,2.14,33.95,29.06
2024,Jun,100.96,100.67,100.81,100.82,101.19,,,,,,,,101.19,100.28,100.03,101.26,100.02,100.27,100.06,100.10,100.45,100.39,100.34,,100.17,2.31,34.19,30.00
2024,Jul,103.26,102.68,102.99,103.35,103.69,,,,,,,,103.69,102.90,101.84,103.17,101.84,102.14,102.54,100.22,101.26,101.57,102.83,,102.25,2.28,33.40,30.76
2024,Aug,105.55,105.01,105.33,106.04,106.15,,,,,,,,106.15,105.58,103.54,105.12,103.71,103.89,105.29,100.31,101.81,103.01,105.53,,104.06,2.22,32.15,31.26
2024,Sep,108.21,107.28,107.54,109.87,108.95,,,,,,,,108.95,108.40,105.39,107.55,106.24,105.81,108.29,100.53,102.70,105.26,108.97,,106.76,2.52,32.70,31.73
2024,Oct,111.06,109.61,109.84,113.57,112.15,,,,,,,,112.15,110.72,107.28,109.54,108.24,107.75,111.53,100.87,103.63,107.68,112.75,,109.29,2.64,33.88,32.26
2024,Nov,113.99,111.72,111.85,117.28,115.49,,,,,,,,115.49,113.14,109.40,111.62,109.99,109.74,114.51,101.04,104.33,109.81,115.94,,111.37,2.64,34.60,32.77
2024,Dec,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-12.27,15.44,31.43
2025,Jan,110.68,110.70,110.87,111.47,110.33,110.50,108.91,110.41,110.79,110.82,110.71,106.39,110.64,114.80,112.73,107.61,111.48,109.42,112.77,107.54,106.85,104.88,114.14,104.65,112.04,10.68,24.48,30.88
2025,Feb,112.94,113.12,113.66,113.38,112.18,112.46,107.43,114.15,112.22,113.24,112.97,109.59,112.87,118.19,106.90,110.52,114.88,111.10,115.22,111.74,108.34,108.42,117.59,108.07,115.47,2.04,23.18,30.09
2025,Mar,117.34,117.85,117.90,113.92,114.62,115.43,117.32,118.07,116.68,118.40,118.59,125.54,115.44,124.70,115.52,124.05,124.14,122.42,117.56,116.75,110.33,113.30,117.54,108.92,118.30,3.90,24.23,29.31
2025,Apr,119.52,120.67,119.47,115.35,116.98,116.46,133.15,120.65,118.89,120.51,122.29,125.55,115.35,126.89,118.36,129.43,124.40,126.25,119.35,120.09,110.52,125.85,118.02,109.76,125.39,1.86,23.71,28.46
2025,May,121.35,121.82,120.79,113.68,119.54,142.53,132.59,122.81,130.04,122.06,124.05,125.88,117.30,127.05,118.91,130.69,125.42,127.42,119.03,122.02,110.91,126.51,123.44,110.66,126.47,1.53,22.97,27.55
2025,June,123.39,123.25,123.76,116.69,123.42,123.63,117.95,126.79,121.28,123.38,125.14,129.12,120.77,128.23,119.19,131.64,127.38,127.56,121.46,125.34,111.36,126.14,124.19,112.36,127.51,1.68,22.22,26.58
2025,July,125.85,124.63,124.96,118.49,127.27,128.52,121.19,127.40,124.62,125.29,126.20,115.25,125.32,129.07,120.14,130.13,127.59,129.85,121.91,127.84,112.26,126.61,126.55,113.78,130.25,1.99,21.88,25.65
2025,August,126.79,126.12,126.74,120.01,129.37,128.22,120.41,128.24,125.82,125.78,127.26,121.84,126.05,128.11,122.67,125.05,127.52,135.31,125.08,125.83,110.56,123.15,129.92,114.21,134.35,0.74,20.12,24.66
2025,September,127.70,127.78,128.54,124.07,127.33,127.34,119.84,129.74,126.42,127.84,128.68,125.50,126.24,128.18,123.37,126.87,132.02,137.80,126.21,126.39,111.73,126.44,130.04,113.16,134.51,0.72,18.02,23.46
2025,October,128.89,129.48,130.36,124.50,126.86,127.34,120.35,131.71,127.23,129.68,130.89,128.30,125.90,128.58,123.83,130.50,133.22,138.58,129.89,127.07,112.63,127.42,132.77,115.10,136.77,0.93,16.05,22.02
2025,November,130.47,131.12,132.03,125.25,128.29,128.32,121.65,134.05,128.16,131.31,132.83,129.89,126.92,129.97,123.96,131.20,133.47,142.34,133.71,127.23,114.41,127.45,135.63,115.31,139.01,1.22,14.45,20.41
2025,December,131.17,132.10,132.79,128.72,127.83,127.8,124.98,134.25,128.98,132.46,133.06,131.12,128.33,130.09,124.12,131.21,133.62,142.36,133.87,126.48,116.86,128.15,136.19,115.55,139.11,0.54,15.15,23.01